id,name,description,weight
076af32f-c886-410c-bbc5-91a3fe3da63e,Sci-Fi Pack,Sci-Fi Pack,30
18da9dba-20c6-4258-ac08-fbfa9ff7b04e,Holiday Pack 2014,Holiday Pack 2014,80
1c0a41a7-023c-49e9-ad6b-d862488ac74f,Box Expansion Pack,Box Expansion Pack,30
2298a355-579f-48c5-8f3b-d17da6e6907a,Vote for Hillary Pack,Vote for Hillary Pack,70
249708cf-a408-4111-a0f8-823eea93775c,College Pack,College Pack,30
24ef4982-8c42-4524-8a43-dd4b0c6f249b,Reject Pack,Reject Pack,30
2dbe39e5-925b-4370-baed-bed3797a1122,PAX Prime 2013 Pack,PAX Prime 2013 Pack,105
39bbd502-dc51-451b-abdf-67e3daa168d5,90s Nostalgia Pack,90s Nostalgia Pack,30
44454d3d-e5e6-4f18-a330-cedca7fbb482,Season's Greetings Pack,Season's Greetings Pack,83
539e2a77-d171-40f4-953d-5b299a274a70,Mass Effect Pack,Mass Effect Pack,101
5f1d0abf-3250-41a0-9336-add23eb333cb,Post-Trump Pack,Post-Trump Pack,72
61337ed7-f94e-4806-ba04-962eca86c793,Base Game (UK),Base Game (UK),3
6570d38b-08a9-4320-b2ae-c180459da9b2,NASA Pack,NASA Pack,30
6a5c4a88-6b10-4695-b80d-a091c23101a0,Holiday Pack 2013,Holiday Pack 2013,80
6e657b0b-2b5a-462b-9257-547ead49daa1,Weed Pack,Weed Pack,30
6f065003-606b-47ef-b01b-397f83371452,House of Cards Pack,House of Cards Pack,30
71e9f370-882c-45c2-85b3-a1cc5773bb55,Holiday Pack 2012,Holiday Pack 2012,80
7ced2f7b-0fe8-4422-a068-f3f8582a8f7f,Base Game (US),Base Game (US),1
92e1fb26-f74d-4e26-b35a-55df56dc1880,Tabletop Pack,Tabletop Pack,100
96d9ae8b-2a10-4724-9e08-4ae2d4183077,Blue Box Expansion,Blue Box Expansion,10
9975567c-e40c-4a16-bf97-75d2df93f863,PAX Prime 2014 Pack,PAX Prime 2014 Pack,107
99dd00ca-9573-425e-9ec0-e2f0e52c3e1e,Science Pack,Science Pack,30
a48b2293-31bd-401a-b71f-388f3b8d6851,Fantasy Pack,Fantasy Pack,30
ad14e07f-490c-4dc3-b10f-021d37ddb2da,Geek Pack,Geek Pack,30
aee4ae59-3150-4b08-ba09-d93f39c1debc,Reject Pack 2,Reject Pack 2,30
b03d2e7e-101e-4111-876f-35cface5c7fc,Retail Pack,Retail Pack,30
b09d7dac-c133-485f-b59d-c8bfcaa7181b,Base Game (Canada),Base Game (Canada),2
bd04252a-c84c-4b44-b1c5-eb48097c48e8,Base Game (Australia),Base Game (Australia),4
bed7e0f5-32f3-4e66-9dfe-ee7d694ae69b,PAX East 2013 Pack C,PAX East 2013 Pack C,104
c2aa238b-01f8-4aff-8d82-22f4d88eaa8a,PAX East 2013 Pack A,PAX East 2013 Pack A,102
c492558a-42d3-4c9b-b8ca-bd6892349ee0,Vote for Trump Pack,Vote for Trump Pack,71
c712fff0-5b88-42f0-bdd5-499194a775d5,Food Pack,Food Pack,30
ceee8cbc-e3f7-4096-abb2-f1c50e278ef6,Base Game (International),Base Game (International),5
cf1f3612-6215-4c5c-b61a-1ccf8602493c,PAX East 2013 Pack B,PAX East 2013 Pack B,103
e16029c7-ebb8-4b20-bd44-d7f5f66f3cae,PAX East 2014 Pack,PAX East 2014 Pack,106
e4c1ed0c-e4d8-4d49-b951-e44ab66bb515,Green Box Expansion,Green Box Expansion,10
e6a4400d-0ef0-4dda-bf2a-0a884791a06d,Retail Product Pack,Retail Product Pack,30
ef91bcd6-6c0a-4c90-8b49-e1a343fe1448,Jew Pack,Jew Pack,30
f2a6fa58-5306-4d1d-9bf2-29985264f7c9,Red Box Expansion,Red Box Expansion,10
f8c96450-b8de-4e94-8cd4-15569bd66309,Period Pack,Period Pack,30
fa330531-d175-452e-8c24-b895feec850e,Hidden Compartment Pack,Hidden Compartment Pack,30
fe4c4c83-d199-4297-ae94-1e150244d3d6,World Wide Web Pack,World Wide Web Pack,30
